Row ID,Order ID,Order Date,On Truck Scan Date,Ship Mode
3074,CA-2019-125206,3/1/2019,07/01/2019,Express
4919,CA-2019-160304,2/1/2019,09/01/2019,Standard Processing
4920,CA-2019-160304,2/1/2019,09/01/2019,Standard Processing
8604,US-2019-116365,3/1/2019,09/01/2019,Standard Processing
8605,US-2019-116365,3/1/2019,09/01/2019,Standard Processing
8606,US-2019-116365,3/1/2019,09/01/2019,Standard Processing
9494,CA-2019-105207,3/1/2019,09/01/2019,Standard Processing
9495,CA-2019-105207,3/1/2019,09/01/2019,Standard Processing
5868,CA-2019-158211,4/1/2019,09/01/2019,Standard Processing
5869,CA-2019-158211,4/1/2019,09/01/2019,Standard Processing
863,CA-2019-134474,5/1/2019,11/01/2019,Standard Processing
864,CA-2019-134474,5/1/2019,11/01/2019,Standard Processing
865,CA-2019-134474,5/1/2019,11/01/2019,Standard Processing
2898,US-2019-164630,4/1/2019,11/01/2019,Standard Processing
8031,CA-2019-158806,7/1/2019,14/01/2019,Standard Processing
8032,CA-2019-158806,7/1/2019,14/01/2019,Standard Processing
3236,CA-2019-140746,15/1/2019,16/01/2019,Express
3702,CA-2019-126543,9/1/2019,16/01/2019,Standard Processing
6970,CA-2019-163937,10/1/2019,16/01/2019,Standard Processing
1026,CA-2019-126529,11/1/2019,16/01/2019,Standard Processing
1027,CA-2019-126529,11/1/2019,16/01/2019,Standard Processing
1028,CA-2019-126529,11/1/2019,16/01/2019,Standard Processing
2162,CA-2019-101938,7/1/2019,16/01/2019,Standard Processing
6851,US-2019-100461,8/1/2019,16/01/2019,Standard Processing
6852,US-2019-100461,8/1/2019,16/01/2019,Standard Processing
7808,US-2019-137295,8/1/2019,16/01/2019,Standard Processing
7809,US-2019-137295,8/1/2019,16/01/2019,Standard Processing
7810,US-2019-137295,8/1/2019,16/01/2019,Standard Processing
3209,CA-2019-108882,9/1/2019,16/01/2019,Standard Processing
3210,CA-2019-108882,9/1/2019,16/01/2019,Standard Processing
8522,CA-2019-141887,11/1/2019,16/01/2019,Standard Processing
5968,CA-2019-166912,15/1/2019,18/01/2019,Express
4667,CA-2019-116547,10/1/2019,18/01/2019,Standard Processing
4668,CA-2019-116547,10/1/2019,18/01/2019,Standard Processing
26,CA-2019-121755,16/1/2019,23/01/2019,Standard Processing
27,CA-2019-121755,16/1/2019,23/01/2019,Standard Processing
7269,CA-2019-133368,14/1/2019,23/01/2019,Standard Processing
7270,CA-2019-133368,14/1/2019,23/01/2019,Standard Processing
2878,CA-2019-152072,15/1/2019,23/01/2019,Standard Processing
2879,CA-2019-152072,15/1/2019,23/01/2019,Standard Processing
2880,CA-2019-152072,15/1/2019,23/01/2019,Standard Processing
3742,CA-2019-137848,15/1/2019,23/01/2019,Standard Processing
3743,CA-2019-137848,15/1/2019,23/01/2019,Standard Processing
3744,CA-2019-137848,15/1/2019,23/01/2019,Standard Processing
876,CA-2019-116736,17/1/2019,23/01/2019,Standard Processing
877,CA-2019-116736,17/1/2019,23/01/2019,Standard Processing
878,CA-2019-116736,17/1/2019,23/01/2019,Standard Processing
2303,CA-2019-106558,17/1/2019,23/01/2019,Standard Processing
2876,US-2019-167339,21/1/2019,25/01/2019,Standard Processing
2877,US-2019-167339,21/1/2019,25/01/2019,Standard Processing
4327,CA-2019-153346,25/1/2019,28/01/2019,Express
4328,CA-2019-153346,25/1/2019,28/01/2019,Express
4612,CA-2019-109407,24/1/2019,30/01/2019,Standard Processing
9358,CA-2019-168046,25/1/2019,30/01/2019,Standard Processing
9359,CA-2019-168046,25/1/2019,30/01/2019,Standard Processing
9360,CA-2019-168046,25/1/2019,30/01/2019,Standard Processing
9361,CA-2019-168046,25/1/2019,30/01/2019,Standard Processing
268,CA-2019-111010,22/1/2019,30/01/2019,Standard Processing
2471,US-2019-135923,22/1/2019,30/01/2019,Standard Processing
2472,US-2019-135923,22/1/2019,30/01/2019,Standard Processing
2473,US-2019-135923,22/1/2019,30/01/2019,Standard Processing
2694,CA-2019-138079,22/1/2019,30/01/2019,Standard Processing
5675,CA-2019-146318,22/1/2019,30/01/2019,Standard Processing
5752,CA-2019-125850,22/1/2019,30/01/2019,Standard Processing
5753,CA-2019-125850,22/1/2019,30/01/2019,Standard Processing
6229,CA-2019-148208,22/1/2019,30/01/2019,Standard Processing
6230,CA-2019-148208,22/1/2019,30/01/2019,Standard Processing
6238,US-2019-155180,22/1/2019,30/01/2019,Standard Processing
7294,CA-2019-113656,23/1/2019,30/01/2019,Standard Processing
9147,US-2019-165505,23/1/2019,30/01/2019,Standard Processing
9148,US-2019-165505,23/1/2019,30/01/2019,Standard Processing
9149,US-2019-165505,23/1/2019,30/01/2019,Standard Processing
7290,CA-2019-153661,30/1/2019,01/02/2019,Express
7291,CA-2019-153661,30/1/2019,01/02/2019,Express
7292,CA-2019-153661,30/1/2019,01/02/2019,Express
3242,US-2019-140809,1/2/2019,04/02/2019,Express
8613,CA-2019-146437,28/1/2019,04/02/2019,Standard Processing
7565,US-2019-166660,30/1/2019,04/02/2019,Standard Processing
7566,US-2019-166660,30/1/2019,04/02/2019,Standard Processing
1383,US-2019-108504,5/2/2019,06/02/2019,Express
1384,US-2019-108504,5/2/2019,06/02/2019,Express
1385,US-2019-108504,5/2/2019,06/02/2019,Express
1386,US-2019-108504,5/2/2019,06/02/2019,Express
1387,US-2019-108504,5/2/2019,06/02/2019,Express
1388,US-2019-108504,5/2/2019,06/02/2019,Express
1389,US-2019-108504,5/2/2019,06/02/2019,Express
1390,US-2019-108504,5/2/2019,06/02/2019,Express
1391,US-2019-108504,5/2/2019,06/02/2019,Express
1392,US-2019-108504,5/2/2019,06/02/2019,Express
1393,US-2019-108504,5/2/2019,06/02/2019,Express
5114,CA-2019-147970,31/1/2019,06/02/2019,Standard Processing
7505,CA-2019-158043,31/1/2019,06/02/2019,Standard Processing
